<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.10.03	00:00:00	2659.54	2662.93	2651.34	2655.91	48876	0	4
2024.10.03	08:00:00	2655.90	2656.24	2639.66	2650.25	101175	0	4
2024.10.03	16:00:00	2650.26	2662.15	2648.01	2656.10	46692	0	4
2024.10.04	00:00:00	2656.09	2667.87	2654.39	2660.29	38932	0	4
2024.10.04	08:00:00	2660.27	2663.20	2632.04	2658.42	94925	0	4
2024.10.04	16:00:00	2658.41	2670.21	2641.90	2653.70	63386	0	4
2024.10.06	16:00:00	2651.26	2652.26	2650.06	2650.87	2733	0	4
2024.10.07	00:00:00	2650.88	2652.48	2639.76	2643.26	44489	0	4
2024.10.07	08:00:00	2643.25	2659.72	2637.80	2640.89	91859	0	4
2024.10.07	16:00:00	2640.89	2650.18	2639.18	2644.26	40368	0	4
2024.10.08	00:00:00	2644.27	2648.28	2633.83	2636.46	75852	0	4
2024.10.08	08:00:00	2636.45	2653.03	2619.94	2621.02	89263	0	4
2024.10.08	16:00:00	2621.05	2623.70	2604.81	2622.02	50860	0	4
2024.10.09	00:00:00	2622.05	2624.37	2610.68	2612.80	53563	0	4
2024.10.09	08:00:00	2612.76	2622.43	2605.32	2609.89	69007	0	4
2024.10.09	16:00:00	2609.87	2617.92	2605.22	2608.92	37066	0	4
2024.10.10	00:00:00	2608.88	2616.93	2605.99	2612.53	48035	0	4
2024.10.10	08:00:00	2612.34	2629.77	2603.36	2625.49	77316	0	4
2024.10.10	16:00:00	2625.48	2631.51	2616.59	2628.30	49804	0	4
2024.10.11	00:00:00	2628.32	2647.22	2628.32	2639.56	52603	0	4
2024.10.11	08:00:00	2639.52	2655.30	2636.31	2653.13	68974	0	4
2024.10.11	16:00:00	2653.11	2661.45	2653.11	2657.00	36037	0	4
2024.10.13	16:00:00	2651.03	2652.55	2646.95	2650.35	3646	0	4
2024.10.14	00:00:00	2650.36	2666.82	2643.23	2664.10	48053	0	4
2024.10.14	08:00:00	2664.09	2665.25	2644.81	2645.72	64518	0	4
2024.10.14	16:00:00	2645.72	2653.37	2644.07	2650.07	29387	0	4
2024.10.15	00:00:00	2650.09	2652.78	2638.19	2648.53	50770	0	4
2024.10.15	08:00:00	2648.65	2664.19	2645.69	2659.82	77246	0	4
2024.10.15	16:00:00	2659.83	2668.93	2657.30	2662.21	42814	0	4
2024.10.16	00:00:00	2662.22	2677.75	2658.76	2677.31	52353	0	4
2024.10.16	08:00:00	2677.30	2685.37	2670.11	2672.19	76050	0	4
2024.10.16	16:00:00	2672.24	2676.72	2666.81	2673.81	34315	0	4
2024.10.17	00:00:00	2673.80	2685.77	2673.50	2681.21	57688	0	4
2024.10.17	08:00:00	2681.20	2696.44	2673.21	2695.74	79378	0	4
2024.10.17	16:00:00	2695.71	2696.77	2683.98	2692.67	39379	0	4
2024.10.18	00:00:00	2692.72	2714.10	2692.38	2707.52	61951	0	4
2024.10.18	08:00:00	2707.45	2720.17	2701.73	2717.43	77280	0	4
2024.10.18	16:00:00	2717.44	2722.58	2713.68	2721.68	39096	0	4
2024.10.20	16:00:00	2723.13	2723.89	2720.44	2723.68	2530	0	4
2024.10.21	00:00:00	2723.65	2732.84	2721.14	2730.36	61929	0	4
2024.10.21	08:00:00	2730.25	2740.59	2722.35	2725.26	83219	0	4
2024.10.21	16:00:00	2725.26	2727.19	2714.23	2720.77	45228	0	4
2024.10.22	00:00:00	2720.78	2737.16	2720.48	2735.14	50748	0	4
2024.10.22	08:00:00	2735.03	2743.21	2729.57	2741.93	76469	0	4
2024.10.22	16:00:00	2741.93	2748.90	2736.92	2747.39	43728	0	4
2024.10.23	00:00:00	2747.40	2753.25	2737.99	2750.53	54332	0	4
2024.10.23	08:00:00	2750.54	2758.49	2716.52	2717.76	80801	0	4
2024.10.23	16:00:00	2717.75	2723.34	2708.75	2718.06	50665	0	4
2024.10.24	00:00:00	2718.07	2736.51	2717.91	2735.25	52747	0	4
2024.10.24	08:00:00	2735.20	2743.30	2722.51	2732.47	76506	0	4
2024.10.24	16:00:00	2732.43	2737.81	2725.87	2734.68	41212	0	4
